,0,1
0,errors,[]
1,total_bos_cost,81585186.2926615
2,total_racking_cost,27613714.93926552
3,siteprep_cost,4038847.040412375
4,substation_cost,3914200.7539665513
5,total_transdist_cost,4269338.179291918
6,total_management_cost,21445670.3454918
7,epc_developer_profit,7500000.0
8,bonding_usd,4500000.0
9,development_overhead_cost,2800732.370619122
10,total_sales_tax,2800732.370619122
11,total_foundation_cost,564230.2266224059
12,total_erection_cost,265828.5
13,total_collection_cost,19473356.30761094
14,total_bos_cost_before_mgmt,60139515.947169706
